ids,sentiment,sarcasm,vulgar,abuse,target,label,caption
image_telugu_0307.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"a text message that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0388.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,tamil dialoguess with images
image_telugu_0714.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0044.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu funny dialoguess
image_telugu_0621.png,neutral,yes,not vulgar,non-abusive,none,0,a dog sitting on a chair with a fire in its mouth
image_telugu_0730.png,neutral,yes,not vulgar,non-abusive,political,0,bjp party cartoon video
image_telugu_0623.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a twitter account with a photo of a man and woman
image_telugu_0435.png,positive,yes,not vulgar,non-abusive,social sub-groups,0,a man talking on a cell phone with the capt in the middle
image_telugu_0158.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a dialogues of love in malayalam
image_telugu_0328.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"a funny conversation between between between between, funny, movie, movie, popcorn, popcorn, popcorns, popcorns, popcorns"
image_telugu_0041.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,trtview telugu telugu movie review
image_telugu_0907.png,positive,no,not vulgar,non-abusive,social sub-groups,0,actor vijay reddy about his upcoming movie
image_telugu_0735.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man in a white shirt is talking on a cell
image_telugu_0114.png,neutral,yes,not vulgar,non-abusive,individual,0,cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon cartoon
image_telugu_0227.png,neutral,yes,not vulgar,non-abusive,individual,0,telugu funny jokes for kids
image_telugu_0193.png,neutral,yes,not vulgar,non-abusive,individual,0,facebook meme - screenshote - screenshote - screenshote - screenshote - screenshote - screenshote - screenshot
image_telugu_0264.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,"two dogs wearing t - shirts with the capt that says, ' i ' m '"
image_telugu_0280.png,neutral,yes,not vulgar,non-abusive,individual,0,person and person ' s family gets a new look
image_telugu_0480.png,neutral,yes,not vulgar,non-abusive,none,0,a penguin and a penguin in the middle of a picture
image_telugu_0847.png,positive,no,not vulgar,non-abusive,individual,0,a man and woman sitting on a bench in front of a tree
image_telugu_0737.png,neutral,yes,not vulgar,non-abusive,others,0,a man with a beard and mustache in a movie
image_telugu_0146.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a picture of a man with a tattoo on his arm
image_telugu_0061.png,neutral,yes,not vulgar,non-abusive,none,0,a man in a blue shirt is lying down on the floor with his head down and his hands clasped
image_telugu_0412.png,neutral,yes,not vulgar,non-abusive,political,0,a woman in a white shirt and a man in a black shirt are smiling and talking to each other women
image_telugu_0128.png,negative,no,vulgar,non-abusive,gender,0,a girl with a funny face and a funny expression
image_telugu_0910.png,positive,yes,not vulgar,non-abusive,gender,0,a man in a cap is talking into a microphone
image_telugu_0964.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"a man in a hat and a man in a hat with a hat on his head, and a man"
image_telugu_0892.png,positive,no,not vulgar,non-abusive,none,0,telugu dialoguess in telugu movies
image_telugu_0877.png,negative,no,not vulgar,non-abusive,none,0,vijay vijay reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy
image_telugu_0934.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a young girl is interviewed in a news
image_telugu_0444.png,positive,yes,not vulgar,non-abusive,gender,0,a dog sitting at a table with a computer
image_telugu_0977.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a funny video of a man singing in a telugu song
image_telugu_0271.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,person and person in the movie
image_telugu_0710.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a bunch of memes and a bunch of memes
image_telugu_0858.png,positive,no,not vulgar,non-abusive,social sub-groups,0,telugu movie dialoguess
image_telugu_0485.png,neutral,yes,not vulgar,non-abusive,individual,0,person in the cartoon movie
image_telugu_0117.png,positive,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0985.png,positive,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0470.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a screenshot of person and person in a conversation
image_telugu_0948.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,malayalam dialoguess
image_telugu_0018.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man in a white shirt and a brown shirt is talking to a woman in a white shirt
image_telugu_0550.png,neutral,yes,not vulgar,non-abusive,none,0,"a man in a hoodie with the words, ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0713.png,neutral,yes,not vulgar,non-abusive,political,0,vijay reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy
image_telugu_0824.png,positive,no,not vulgar,non-abusive,none,0,malayalam comedy dialoguess
image_telugu_0223.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,funny memesets funny memesets funny memesets funny memesetsets funny memesetsetsetsetsetsets
image_telugu_0234.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,"a dog with glasses on and a capt that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0320.png,neutral,yes,not vulgar,non-abusive,none,0,kareena and ran kapoor at the event
image_telugu_0452.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"a doge with a red hat and headphones on, and a capt that reads ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0403.png,negative,no,not vulgar,non-abusive,social sub-groups,0,a bus is seen in the air as it is being towed by a truck
image_telugu_0978.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0464.png,positive,no,not vulgar,non-abusive,social sub-groups,0,a picture of a man playing chess with a woman
image_telugu_0224.png,neutral,yes,not vulgar,non-abusive,individual,0,a man with a sign that says ' aadha here '
image_telugu_0243.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,a couple of people sitting at a table with a laptop
image_telugu_0426.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a dog in a red hoodie is cooking food
image_telugu_0815.png,negative,yes,not vulgar,non-abusive,individual,0,a man talking to another man in a room
image_telugu_0754.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man in blue shirt sitting down and talking to someone
image_telugu_0049.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a movie scene with a man in a suit and a woman in a dress
image_telugu_0653.png,neutral,yes,not vulgar,abusive,individual,1,anil reddy speech at the event
image_telugu_0946.png,positive,yes,not vulgar,non-abusive,none,0,a man crying in a telugu movie
image_telugu_0017.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess
image_telugu_0350.png,negative,yes,vulgar,abusive,individual,1,"a dog with headphones on and a capt that says, ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0861.png,positive,no,not vulgar,non-abusive,none,0,person in telugu movie
image_telugu_0473.png,positive,no,not vulgar,non-abusive,individual,0,person in a movie
image_telugu_0057.png,neutral,yes,not vulgar,non-abusive,none,0,kalvi kalvi kalvi kalvi kalvi kalvi kalvi kalvi kalvi ka
image_telugu_0102.png,positive,no,not vulgar,non-abusive,none,0,a man smiling with a cow in the background
image_telugu_0819.png,positive,no,not vulgar,non-abusive,individual,0,a col of a man playing cricket with a bat
image_telugu_0140.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0399.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a dog in a red hoodie is sitting on a couch
image_telugu_0121.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,anil reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy
image_telugu_0144.png,neutral,yes,not vulgar,non-abusive,none,0,funny jokes on life in telugu
image_telugu_0648.png,neutral,yes,not vulgar,non-abusive,individual,0,a man speaking into a microphone with a woman in the background
image_telugu_0519.png,positive,no,not vulgar,non-abusive,national origin,0,a man in a suit is standing next to a stuffed animal
image_telugu_0560.png,negative,no,vulgar,non-abusive,none,0,a woman in a red sari sari sari sari sari sari sari sari sari sari sari sar
image_telugu_0814.png,negative,yes,not vulgar,non-abusive,social sub-groups,0,a funny picture of a cricket player with a capt
image_telugu_0478.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man with glasses and a beard is looking at another man with glasses
image_telugu_0565.png,neutral,yes,not vulgar,non-abusive,individual,0,telugu love quotes in telugu telugu quotes
image_telugu_0663.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,tamil funny dialoguess
image_telugu_0083.png,negative,yes,not vulgar,abusive,individual,1,telugu dialoguess in telugu movies
image_telugu_0620.png,neutral,yes,not vulgar,non-abusive,national origin,0,anil reddy and vijay reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy
image_telugu_0536.png,neutral,yes,vulgar,non-abusive,none,0,a dialogues of baa baa baa baa baa baa baa baa baa baa baa baa ba
image_telugu_0366.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,person in the movie
image_telugu_0624.png,neutral,yes,not vulgar,non-abusive,none,0,a picture of a man with a heart shaped balloon
image_telugu_0019.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,person in a funny scene in the movie
image_telugu_0371.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,"a dog with glasses on and a capt that says, ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `"
image_telugu_0020.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man in a pink shirt sitting at a desk with a blackboard behind him
image_telugu_0186.png,neutral,yes,not vulgar,non-abusive,individual,0,person is the best person in bollywood movies
image_telugu_0561.png,negative,no,vulgar,non-abusive,none,0,a girl with a big nose and a big mouth
image_telugu_0580.png,neutral,yes,vulgar,non-abusive,none,0,the vampire diaries - episode 2 - episode 2 - episode 2 - episode 3 - episode 3 - episode 3
image_telugu_0178.png,negative,yes,not vulgar,non-abusive,none,0,person and person in the movie
image_telugu_0106.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu funny jokes
image_telugu_0770.png,positive,yes,not vulgar,non-abusive,none,0,a man in a white shirt is talking on a cell
image_telugu_0500.png,neutral,yes,not vulgar,non-abusive,none,0,telugu dialoguess in telugu movies
image_telugu_0231.png,positive,no,not vulgar,non-abusive,social sub-groups,0,a man eating a carrot with a red carrot in his mouth
image_telugu_0890.png,negative,yes,not vulgar,non-abusive,others,0,a funny video of vijay vijay and vijay
image_telugu_0564.png,neutral,yes,vulgar,non-abusive,none,0,"malayalam love quotes, love quotes, love quotes, person, person, person, person, person, person"
image_telugu_0441.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a woman is dancing with a man in a room
image_telugu_0589.png,neutral,yes,not vulgar,non-abusive,national origin,0,"india vs pakistan, india vs pakistan, india vs pakistan, india vs pakistan, india vs pakistan, india vs pakistan, india vs pakistan, india vs"
image_telugu_0520.png,negative,no,vulgar,non-abusive,none,0,a video of a man in a crowd
image_telugu_0752.png,positive,yes,not vulgar,non-abusive,none,0,malayalam dialoguess
image_telugu_0912.png,positive,no,not vulgar,non-abusive,others,0,vijay vijay in telugu movie
image_telugu_0869.png,positive,no,not vulgar,non-abusive,individual,0,a woman with long hair and a beard is talking to a man in a video
image_telugu_0343.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a funny dialogues of person in telugu movie
image_telugu_0042.png,neutral,yes,not vulgar,non-abusive,individual,0,telugu dialoguess in telugu movies
image_telugu_0566.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0263.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"a girl in the movie, with a capt that reads, ' no daram exe '"
image_telugu_0322.png,positive,no,not vulgar,non-abusive,gender,0,person and person in telugu movie
image_telugu_0180.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"happy new year hindi funny, funny, happy new year, funny quotes, happy new year, happy new year, happy new year, happy"
image_telugu_0577.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,"a man with a beard and sunglasses on, and a man with a beard and sunglasses on, and a"
image_telugu_0501.png,neutral,yes,not vulgar,abusive,social sub-groups,1,a man holding an umbrella and a woman holding an umbrella
image_telugu_0154.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0294.png,neutral,yes,not vulgar,non-abusive,political,0,a man in a tuk tuk tuk tuk tuk tuk tuk tuk tu
image_telugu_0176.png,positive,yes,not vulgar,non-abusive,none,0,a funny picture of a man with a beard and a beard
image_telugu_0078.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,malayalam funny dialoguess
image_telugu_0357.png,neutral,yes,not vulgar,non-abusive,national origin,0,a screenshot of a man in a purple shirt and a man in a blue shirt with a green hat
image_telugu_0228.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0110.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a poster for the movie
image_telugu_0406.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a movie scene with a quote from the movie
image_telugu_0692.png,neutral,yes,not vulgar,non-abusive,political,0,telugu dialoguess in telugu movies
image_telugu_0259.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,hindi movie dialogues dialoguess
image_telugu_0749.png,positive,no,not vulgar,non-abusive,social sub-groups,0,vijay vijay reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy reddy
image_telugu_0398.png,neutral,yes,not vulgar,abusive,political,1,malayalam dialoguess
image_telugu_0817.png,positive,no,not vulgar,non-abusive,individual,0,malayalam movie posters
image_telugu_0947.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0181.png,positive,no,not vulgar,non-abusive,none,0,"the vampire diaries vampire diaries, vampire diaries, vampire diaries, vampire diaries, vampire diaries, vampire diaries, vampire diaries, vampire diaries, vampire"
image_telugu_0162.png,positive,yes,not vulgar,non-abusive,social sub-groups,0,a funny dialogues of person and person
image_telugu_0628.png,negative,no,vulgar,non-abusive,none,0,malayalam dialoguess in telugu movies
image_telugu_0880.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,kalvi kalvi in telugu movie
image_telugu_0187.png,positive,yes,not vulgar,non-abusive,gender,0,a girl eating food with a man in the background
image_telugu_0569.png,neutral,yes,vulgar,non-abusive,none,0,a couple in a car with the capt of the capt
image_telugu_0068.png,negative,yes,not vulgar,non-abusive,gender,0,a man crying in front of a car
image_telugu_0177.png,negative,yes,not vulgar,non-abusive,political,0,a man talking to a man in a bus
image_telugu_0265.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a doge is standing in front of a large balloon
image_telugu_0845.png,negative,yes,not vulgar,non-abusive,social sub-groups,0,the accident happened in the car accident in hyderabad
image_telugu_0457.png,positive,yes,not vulgar,non-abusive,political,0,person and person in the movie
image_telugu_0615.png,neutral,yes,not vulgar,non-abusive,individual,0,person and person in the comedy show
image_telugu_0988.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a woman in a white headdre with a smile on her face
image_telugu_0405.png,neutral,yes,vulgar,non-abusive,none,0,a girl smiling and looking at the camera
image_telugu_0717.png,neutral,yes,not vulgar,non-abusive,none,0,person in a movie
image_telugu_0482.png,neutral,yes,not vulgar,non-abusive,individual,0,a funny dialogues of person and person in telugu movie
image_telugu_0324.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,the many faces of person
image_telugu_0276.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man sitting in front of a television screen
image_telugu_0992.png,negative,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu movies
image_telugu_0859.png,negative,no,not vulgar,abusive,individual,1,"person, person, person, person, person, person, person, person, the lord"
image_telugu_0502.png,neutral,yes,not vulgar,non-abusive,none,0,a woman with a doctor in the background
image_telugu_0248.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a man with glasses and a mustache sitting in a chair
image_telugu_0222.png,neutral,yes,not vulgar,non-abusive,gender,0,person in a movie
image_telugu_0273.png,negative,yes,not vulgar,non-abusive,social sub-groups,0,a man is eating food in front of a sign
image_telugu_0896.png,positive,no,not vulgar,non-abusive,others,0,telugu dialoguess in telugu movies
image_telugu_0418.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a dog in a red hoodie is sitting on a couch and talking to another dog
image_telugu_0356.png,positive,no,not vulgar,non-abusive,social sub-groups,0,a screen shot of a man in a white shirt and black pants
image_telugu_0759.png,positive,no,not vulgar,non-abusive,individual,0,sachvi rajan and sachvi rajan in the bigg
image_telugu_0468.png,positive,yes,not vulgar,non-abusive,social sub-groups,0,a man in a hat and uniform is talking to another man
image_telugu_0704.png,negative,no,not vulgar,non-abusive,political,0,a funny dialogues in telugu movie
image_telugu_0298.png,negative,yes,vulgar,non-abusive,political,0,a col of a man with a red face and a black face
image_telugu_0865.png,negative,yes,not vulgar,abusive,individual,1,a man is talking to a woman in a house
image_telugu_0949.png,negative,yes,not vulgar,non-abusive,none,0,a man in a black shirt is talking to a woman in a black shirt
image_telugu_0022.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a scene from the movie ' ' ' '
image_telugu_0407.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a dialogues of love in telugu
image_telugu_0383.png,neutral,yes,not vulgar,non-abusive,individual,0,a girl talking to a man in a room
image_telugu_0630.png,neutral,yes,not vulgar,non-abusive,none,0,a man with a dog on his face and a dog in the background
image_telugu_0257.png,neutral,yes,vulgar,non-abusive,individual,0,tamil dialogues of the day
image_telugu_0809.png,positive,yes,not vulgar,non-abusive,individual,0,"happy birthday person person, person, person, person, person, person, person, person, person, person"
image_telugu_0440.png,neutral,yes,vulgar,non-abusive,social sub-groups,0,a man in a black shirt and a woman in a blue shirt and a man in a white shirt and
image_telugu_0825.png,neutral,yes,vulgar,non-abusive,others,0,person in a movie
image_telugu_0643.png,neutral,yes,not vulgar,non-abusive,political,0,telugu dialoguess in telugu movies
image_telugu_0778.png,positive,no,not vulgar,non-abusive,social sub-groups,0,mandar comri 4k to release on november 4
image_telugu_0448.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a group of people in a subway station
image_telugu_0853.png,positive,no,not vulgar,non-abusive,individual,0,telugu dialoguess in telugu movies
image_telugu_0077.png,negative,yes,not vulgar,non-abusive,others,0,a bunch of memess with a beard and glasses
image_telugu_0629.png,neutral,yes,vulgar,abusive,social sub-groups,1,anir interview on tv
image_telugu_0647.png,neutral,yes,not vulgar,non-abusive,none,0,a dog with a red shirt and a red hat
image_telugu_0712.png,negative,no,not vulgar,abusive,national origin,1,a man in a green shirt is talking to the media about his team
image_telugu_0463.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a girl is crying in the hospital
image_telugu_0904.png,negative,no,not vulgar,non-abusive,none,0,telugu dialoguess in telugu movies
image_telugu_0116.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,telugu dialoguess in telugu telugu movies
image_telugu_0099.png,neutral,yes,not vulgar,non-abusive,individual,0,a cartoon character with a capt that reads ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `
image_telugu_0101.png,positive,yes,not vulgar,non-abusive,social sub-groups,0,"a man and woman in a scene with the capt that reads, ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' ' '"
image_telugu_0112.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a baby crying with a speech bubble
image_telugu_0722.png,neutral,yes,not vulgar,non-abusive,political,0,telugu dialoguess in telugu movies
image_telugu_0515.png,neutral,yes,vulgar,non-abusive,none,0,a man with a heart shaped background and text that reads a deng paki
image_telugu_0556.png,neutral,yes,vulgar,abusive,individual,1,a quote from maha maha maha maha maha maha maha maha maha maha maha maha maha maha maha maha maha maha
image_telugu_0199.png,neutral,yes,not vulgar,abusive,gender,1,"a cartoon picture of a man and woman in bed with the capt that says, when they are sleeping, when they sleep"
image_telugu_0026.png,neutral,yes,not vulgar,non-abusive,none,0,"telugu funny quotes, telugu funny quotes, telugu quotes, funny jokes, funny jokes, funny jokes, funny"
image_telugu_0182.png,negative,yes,not vulgar,non-abusive,none,0,a man with many expressions and expressions
image_telugu_0532.png,negative,no,vulgar,non-abusive,none,0,a dialogues in telugu movie
image_telugu_0194.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a funny dialogues of the day
image_telugu_0481.png,neutral,yes,not vulgar,non-abusive,none,0,a man in a blue shirt is talking to someone
image_telugu_0972.png,neutral,yes,not vulgar,non-abusive,others,0,a funny scene from the movie
image_telugu_0842.png,positive,no,not vulgar,non-abusive,social sub-groups,0,tamil movie dialogues dialoguess
image_telugu_0597.png,neutral,yes,not vulgar,non-abusive,individual,0,the indian cricket team is playing in the match
image_telugu_0453.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,tamil movie dialoguess
image_telugu_0483.png,neutral,yes,not vulgar,non-abusive,none,0,telugu funny quotes in telugu telugu quotes in telugu telugu
image_telugu_0510.png,neutral,yes,not vulgar,non-abusive,social sub-groups,0,a group of people standing around a building
image_telugu_0065.png,neutral,yes,not vulgar,non-abusive,none,0,person and person in the movie
image_telugu_0028.png,negative,yes,not vulgar,abusive,social sub-groups,1,a screenshot of the news on the news
image_telugu_0131.png,neutral,yes,not vulgar,non-abusive,individual,0,a funny message from an old man
